,Dataset,Classifier,Oversampling method,Metric,Std CV score
217,pima,LogisticRegression,KMeansSMOTE,geometric mean score,0.009419270526582505
218,pima,LogisticRegression,KMeansSMOTE,roc auc score,0.010051425318889631
219,pima,LogisticRegression,KMeansSMOTE2,f1 score,0.010207434154629077
220,pima,LogisticRegression,KMeansSMOTE2,geometric mean score,0.015292372417923777
221,pima,LogisticRegression,KMeansSMOTE2,roc auc score,0.00863376718717276
222,pima,LogisticRegression,KMeansSMOTE3,f1 score,0.012482955009961218
223,pima,LogisticRegression,KMeansSMOTE3,geometric mean score,0.011789646417053917
224,pima,LogisticRegression,KMeansSMOTE3,roc auc score,0.014966845549183915
225,pima,LogisticRegression,KMeansSMOTE4,f1 score,0.011853793001745466
226,pima,LogisticRegression,KMeansSMOTE4,geometric mean score,0.01363618340233512
227,pima,LogisticRegression,KMeansSMOTE4,roc auc score,0.010567995042426748
228,pima,LogisticRegression,None,f1 score,0.011932756714226252
229,pima,LogisticRegression,None,geometric mean score,0.0036231743934603718
230,pima,LogisticRegression,None,roc auc score,0.00752695809812416
231,pima,LogisticRegression,RandomOverSampler,f1 score,0.011114817287467329
232,pima,LogisticRegression,RandomOverSampler,geometric mean score,0.005362424668198971
233,pima,LogisticRegression,RandomOverSampler,roc auc score,0.010987862566215603
234,pima,LogisticRegression,SMOTE,f1 score,0.009026342343102603
235,pima,LogisticRegression,SMOTE,geometric mean score,0.003929222734847247
236,pima,LogisticRegression,SMOTE,roc auc score,0.005863591439741836
237,pima,LogisticRegression,SMOTE2,f1 score,0.007225340150224832
238,pima,LogisticRegression,SMOTE2,geometric mean score,0.005334042361812998
239,pima,LogisticRegression,SMOTE2,roc auc score,0.007980864714594691
240,segment,LogisticRegression,KMeansSMOTE,f1 score,0.007129575273926856
241,segment,LogisticRegression,KMeansSMOTE,geometric mean score,0.004042286063053796
242,segment,LogisticRegression,KMeansSMOTE,roc auc score,0.012215954481727385
243,segment,LogisticRegression,KMeansSMOTE2,f1 score,0.0046730013586493875
244,segment,LogisticRegression,KMeansSMOTE2,geometric mean score,0.0024904504207678784
245,segment,LogisticRegression,KMeansSMOTE2,roc auc score,0.017881445231308288
246,segment,LogisticRegression,KMeansSMOTE3,f1 score,0.015012618348565309
247,segment,LogisticRegression,KMeansSMOTE3,geometric mean score,0.0037854255225991105
248,segment,LogisticRegression,KMeansSMOTE3,roc auc score,0.03461222594846712
249,segment,LogisticRegression,KMeansSMOTE4,f1 score,0.0072553459368111155
250,segment,LogisticRegression,KMeansSMOTE4,geometric mean score,0.002415681343434846
251,segment,LogisticRegression,KMeansSMOTE4,roc auc score,0.01884571785071072
252,segment,LogisticRegression,None,f1 score,0.00520286106615858
253,segment,LogisticRegression,None,geometric mean score,0.0011152311714699313
254,segment,LogisticRegression,None,roc auc score,0.0031683187921259766
255,segment,LogisticRegression,RandomOverSampler,f1 score,0.004958533414964452
256,segment,LogisticRegression,RandomOverSampler,geometric mean score,0.0019945400691445216
257,segment,LogisticRegression,RandomOverSampler,roc auc score,0.004341063174321839
258,segment,LogisticRegression,SMOTE,f1 score,0.005988174084403351
259,segment,LogisticRegression,SMOTE,geometric mean score,0.0015603343836318314
260,segment,LogisticRegression,SMOTE,roc auc score,0.0037405998314394354
261,segment,LogisticRegression,SMOTE2,f1 score,0.006097360227502604
